,Property Id,Property Name,Postal Code,Source EUI (kBtu/ftå_),Number of Buildings - Self-reported,Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (ftå_),Year Built,Metered Areas (Energy),ENERGY STAR Score,Median Income for Zip,building_type,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,ENERGY STAR binned,binned source EUI
3843,"2,805,626",103 East 75th St. Apts. Inc,10021,106.1,1,Manhattan,Multifamily Housing,71336.0,1913,Whole Building,78.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3844,"2,719,890",Lex Owners Corp.,10021,175.2,1,Manhattan,Multifamily Housing,96104.0,1961,Whole Building,22.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3845,"2,587,540",177 East 75th Street,10021,96.4,1,Manhattan,Multifamily Housing,145000.0,1962,Whole Building,90.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3846,"4,034,138",NH 122 East 76th Street,10021,101.7,1,Manhattan,Medical Office,43349.0,1915,Whole Building,89.0,75472.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,Moderate
3847,"3,111,785",DEPM 2524 - 829 Park Ave,10021,140.2,1,Manhattan,Multifamily Housing,103922.0,1909,Whole Building,54.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3848,"3,327,404",136 East 76th St.,10021,181.0,1,Manhattan,Multifamily Housing,140000.0,1961,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,High
3849,"2,670,564",188 East 76th St,10021,138.8,1,Manhattan,Multifamily Housing,141534.0,1996,Whole Building,49.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
3850,"2,669,771",823 Park Ave,10021,158.9,1,Manhattan,Multifamily Housing,61381.0,1920,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3851,"2,655,597",NH Lenox Hill,10075,577.8,9,Manhattan,Hospital (General Medical & Surgical),873000.0,1894,Whole Building,28.0,104583.0,hospital / medical,0.8817675614509263,0.04016615643140673,0.07806800620902768,0.0,0.19019160454325912,0.25870306868870985,0.08521779800112336,0.03542793575445246,0.443534029640023,0.7244850344788165,Low,Extremely High
3852,"2,745,660",The Queen Anne,10021,109.2,1,Manhattan,Multifamily Housing,182015.0,1958,Whole Building,79.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3853,"2,806,508",Lenox Manor Owners Inc.,10075,121.2,1,Manhattan,Multifamily Housing,168671.0,1957,Whole Building,,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3854,"5,767,656",150 E. 77 Street Corp,10075,114.1,1,Manhattan,Multifamily Housing,202255.0,1959,Whole Building,80.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3855,"2,790,741",145 East 76th Street,10021,166.5,1,Manhattan,Multifamily Housing,65953.0,1999,Whole Building,28.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,High
3856,"4,038,889",Orsid - 170 East 77th Street,10075,194.6,1,Manhattan,Multifamily Housing,99200.0,1942,Whole Building,2.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3857,"2,694,382",DEPM 2618 - 863 Park Ave,10075,128.4,1,Manhattan,Multifamily Housing,47919.0,1908,Whole Building,,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3858,"2,670,781",875 Park Ave,10075,152.4,1,Manhattan,Multifamily Housing,114300.0,1912,Whole Building,38.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3859,"4,037,958",170 E 78th Street,10021,106.5,1,Manhattan,Multifamily Housing,56287.0,1927,Whole Building,62.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3860,"2,656,229",Wallack - 188 East 78th Street,10075,178.7,1,Manhattan,Multifamily Housing,199987.0,2000,Whole Building,,104583.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Not Available,High
3861,"3,325,701",177 East 77th Street Condominium,10075,112.0,1,Manhattan,Multifamily Housing,72438.0,1942,Whole Building,69.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3862,"2,670,041",885 Park Ave,10075,87.0,1,Manhattan,Multifamily Housing,175590.0,1927,Whole Building,99.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3863,"2,637,907",169 E 78 St.,10075,96.6,1,Manhattan,Multifamily Housing,54683.0,1928,Whole Building,75.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3864,"2,719,912",Third Colony Corp.,10075,104.5,1,Manhattan,Multifamily Housing,291428.0,1930,Whole Building,94.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3865,"2,704,465",170 East 79th Street,10021,137.4,1,Manhattan,Multifamily Housing,55500.0,1927,Whole Building,51.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3866,"2,747,775",156 East 79th St. Corp.,10075,102.0,1,Manhattan,Multifamily Housing,111251.0,1917,Whole Building,94.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3867,"2,670,730",136 East 79th St,10075,77.8,1,Manhattan,Multifamily Housing,139000.0,1929,Whole Building,95.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3868,"2,669,773",120 East 79th St & 116 East 79th St,10075,112.2,1,Manhattan,Multifamily Housing,79651.0,1947,Whole Building,69.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3869,"2,805,620",Park Seventy-Ninth Corp.,10075,138.2,1,Manhattan,Multifamily Housing,226014.0,1930,Whole Building,29.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3870,"2,805,221",220 E 60 Street - 32744,10022,112.0,1,Manhattan,Multifamily Housing,125968.0,1965,Whole Building,,80406.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3871,"2,729,761",205 E 59 Condominiums,10022,183.6,1,Manhattan,Multifamily Housing,126160.0,2003,Whole Building,3.0,80406.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,High
3872,"3,506,173",Stonehenge - 252 East 61 St,10065,108.4,1,Manhattan,Multifamily Housing,93304.0,1940,Whole Building,52.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3873,"3,166,885",Savoy Condominium,10065,280.1,1,Manhattan,Multifamily Housing,183269.0,1984,Whole Building,3.0,110163.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Extremely High
3874,"4,045,760",DEPM 1826 - 200 East 62nd Street,10065,144.7,1,Manhattan,Multifamily Housing,243000.0,1967,Whole Building,8.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3875,"2,660,104",Wallack - 201 East 62nd St,10065,115.8,1,Manhattan,Multifamily Housing,160000.0,1963,Whole Building,,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3876,"3,128,407",220 East 63rd Street,10065,141.9,1,Manhattan,Multifamily Housing,190995.0,1963,Whole Building,28.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3877,"2,809,140",205 East 63rd St. Corp.,10065,101.1,1,Manhattan,Multifamily Housing,161471.0,1963,Whole Building,,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3878,"4,858,534",225 East 63rd Street,10065,218.3,1,Manhattan,Multifamily Housing,92857.0,1962,Whole Building,10.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3879,"2,960,530","Regency Towers, LLC",10065,160.9,1,Manhattan,Multifamily Housing,620365.0,1963,Whole Building,,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,High
3880,"2,960,523","64th Street Third Avenue Associates, LLC (also 1081 3 Ave)",10065,264.5,1,Manhattan,Multifamily Housing,171111.0,1968,Whole Building,1.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
3881,"5,802,562",250 E 65th Street - 30015,10065,114.6,1,Manhattan,Multifamily Housing,200024.0,1963,Whole Building,33.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3882,"2,654,832",Milstein - 200-210 East 65th Street,10021,159.6,1,Manhattan,Multifamily Housing,416253.0,1988,Whole Building,60.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,High
3883,"3,529,178",Concorde Condominium,10065,181.9,1,Manhattan,Multifamily Housing,265306.0,1920,Whole Building,10.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3884,"2,707,970",201 E66th St,10065,124.5,1,Manhattan,Multifamily Housing,259383.0,1961,Whole Building,,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3885,"2,726,484",Manhattan East Realty,10065,86.9,1,Manhattan,Multifamily Housing,160420.0,1880,Whole Building,99.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3886,"4,390,416",265 E 66th Street,10065,220.8,1,Manhattan,Multifamily Housing,490652.0,1979,Whole Building,1.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3887,"5,813,423",220 E 67 Owners Corp.,10065,160.9,1,Manhattan,Multifamily Housing,100600.0,1964,Whole Building,19.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3888,"4,379,402",Fox Television Stations,10065,328.0,1,Manhattan,Office,171933.0,1946,Whole Building,53.0,110163.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Moderate,Extremely High
3889,"2,704,302",254 East 68th Street Inc,10065,140.2,1,Manhattan,Multifamily Housing,333724.0,1974,Whole Building,31.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3890,"2,817,476",210 East 68th Street,10065,118.0,1,Manhattan,Multifamily Housing,256474.0,1929,Whole Building,,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3891,"2,704,335",215 East 68th Street L.P.,10065,149.7,1,Manhattan,Multifamily Housing,1016132.0,1962,Whole Building,24.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3892,"2,614,203",200 E. 69Th Street,10021,142.7,1,Manhattan,Multifamily Housing,507707.0,1999,Whole Building,20.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Moderate
3893,"2,796,206",201 E 69th Street,10021,138.5,1,Manhattan,Multifamily Housing,320000.0,1980,Whole Building,38.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
3894,"4,946,187",AKAM - 205 East 69th Street,10021,93.1,1,Manhattan,Multifamily Housing,87872.0,1929,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Low
3895,"2,653,195",219 East 69th (W48),10021,146.1,1,Manhattan,Multifamily Housing,143800.0,1957,Whole Building,41.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3896,"3,129,697",Rockefeller Univ. Residential - 220 East 70th Street,10021,193.9,1,Manhattan,Multifamily Housing,74947.0,1986,Whole Building,2.0,75472.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,High
3897,"5,832,504",Charles H. Greenthal: 233 EAST 69 STREET,10021,636.8,1,Manhattan,Multifamily Housing,24492.0,1957,Whole Building,26.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
3898,"2,557,733",Empire House,10021,72.6,1,Manhattan,Multifamily Housing,346000.0,1961,Whole Building,98.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3899,"2,704,338",211 East 70th Street LP,10021,122.5,1,Manhattan,Multifamily Housing,483178.0,1976,Whole Building,44.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3900,"2,649,543",225 E 70,10021,84.5,1,Manhattan,Multifamily Housing,140420.0,1961,Whole Building,87.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3901,"4,402,719",Buchbinder: 230 EAST 71 ST,10021,98.9,1,Manhattan,Multifamily Housing,52000.0,1929,Whole Building,89.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3902,"2,718,591",DEPM 7568 - 233 East 70th St,10021,136.5,1,Manhattan,Multifamily Housing,80624.0,1954,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3903,"2,794,075",JC Dwight 242 East 72nd Street,10021,141.0,1,Manhattan,Multifamily Housing,94875.0,1930,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3904,"4,405,706",220 East 72nd Street LLC,10021,280.4,1,Manhattan,Multifamily Housing,190000.0,1975,Whole Building,1.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
3905,"2,960,517","72nd Street Associates, LLC",10021,98.9,1,Manhattan,Multifamily Housing,568500.0,1979,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Low
3906,"2,673,415",DEPM 1184 - 203 East 72nd St,10021,179.8,1,Manhattan,Multifamily Housing,192981.0,1967,Whole Building,11.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3907,"2,787,036",215 East 72nd Street Corp.,10021,109.8,1,Manhattan,Multifamily Housing,86423.0,1929,Whole Building,100.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3908,"2,946,993",St. Mary's Home for Working Girls,10021,152001.3,1,Manhattan,Residence Hall/Dormitory,67655.0,1960,Whole Building,1.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
3909,"4,946,285",AKAM - 245 East 72nd Street,10021,95.5,1,Manhattan,Multifamily Housing,134722.0,1930,Whole Building,79.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3910,"2,708,144",230 East 73rd Street Corp.,10021,66.7,1,Manhattan,Multifamily Housing,161540.0,1937,Whole Building,99.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3911,"2,386,824",220 East 73rd Street,10021,112.8,1,Manhattan,Multifamily Housing,97677.0,1932,Whole Building,69.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3912,"2,682,650",(8071) - 210 East 73rd Street,10021,116.1,1,Manhattan,Multifamily Housing,75137.0,1929,Whole Building,69.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3913,"2,386,826",215 East 73rd Street,10021,122.6,1,Manhattan,Multifamily Housing,82199.0,1930,Whole Building,57.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3914,"4,410,422",Halstead - 225 East 73rd Street,10021,106.7,1,Manhattan,Multifamily Housing,89516.0,1932,Whole Building,81.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3915,"2,664,583",200 East 74 Street Owners Corp.,10021,152.2,1,Manhattan,Multifamily Housing,194856.0,1962,Whole Building,18.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
3916,"2,745,658",The Mayfair,10021,133.4,1,Manhattan,Multifamily Housing,134807.0,1963,Whole Building,47.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3917,"4,620,739",Glick - 225 East 74th Street,10021,104.0,1,Manhattan,Multifamily Housing,88488.0,1938,Whole Building,82.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
3918,"4,405,707",Eastmore,10021,148.2,1,Manhattan,Multifamily Housing,216576.0,1957,Whole Building,,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
3919,"2,679,896",231 East 76th Street,10021,96.8,1,Manhattan,Multifamily Housing,82065.0,1938,Whole Building,86.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3920,"4,952,828",AKAM - 241 East 76th Street,10065,154.3,1,Manhattan,Multifamily Housing,81080.0,1959,Whole Building,37.0,110163.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3921,"4,405,685","201 East 77th Street, New York",10075,169.0,1,Manhattan,Multifamily Housing,137150.0,1965,Whole Building,,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,High
3922,"2,667,321",205 East 77 St. Tenants Corp.,10075,119.6,1,Manhattan,Multifamily Housing,83494.0,1961,Whole Building,66.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
3923,"2,667,353",200 East 78th St,10075,177.1,1,Manhattan,Multifamily Housing,167519.0,1965,Whole Building,,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,High
3924,"4,039,187",Century - 240 East 79th Street,10075,92.8,1,Manhattan,Multifamily Housing,78260.0,1929,Whole Building,83.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
3925,"2,800,207",Michael A Rich: 230 East 79th Street,10075,170.5,1,Manhattan,Multifamily Housing,86731.0,1964,Whole Building,14.0,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
3926,"4,954,842",205/78 Owners Corp.,10075,78.2,1,Manhattan,Multifamily Housing,245550.0,1931,Whole Building,,104583.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Low
3928,"4,803,003",306 East 61st Street,10065,98.8,1,Manhattan,Office,51651.0,1901,Whole Building,94.0,110163.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,Low
3929,"4,398,358","303 East 60th Street, New York",10022,193.2,1,Manhattan,Multifamily Housing,222599.0,1986,Whole Building,,80406.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Not Available,High
